ID X Y Z
00 -5.062670 0.815958 4.565760
00 -5.062670 -0.815956 4.565760
00 0.172499 0.000000 1.039110
00 5.240510 -0.750897 3.971720
00 5.240510 0.750897 3.971720
10 -4.238320 0.696853 3.601690
10 -4.224180 -0.622437 3.601690
10 0.154938 0.012839 1.028060
10 4.014950 -0.619848 3.463120
10 4.014950 0.619847 3.463120
20 -4.169350 0.660355 3.502660
20 -4.169350 -0.660355 3.502660
20 0.147615 -0.000040 1.022100
20 4.014400 -0.619883 3.419730
20 4.014400 0.619884 3.419730
01 -5.146990 0.815892 4.631100
01 -5.146990 -0.815892 4.631100
01 0.172384 0.000000 1.039110
01 5.380720 -0.750709 4.142860
01 5.380730 0.750699 4.142860
11 -4.378280 0.659890 4.065120
11 -4.378280 -0.659890 4.065120
11 0.180053 0.000001 1.028060
11 5.224880 -0.750938 3.947980
11 5.224880 0.750937 3.947980
21 -4.322380 0.660190 3.817550
21 -4.322380 -0.660190 3.817550
21 0.182130 0.000000 1.022100
21 5.224160 -0.750971 3.941050
21 5.224160 0.750971 3.941050
