ID X Y Z
00 -5.116450 -0.816690 4.565760
00 -5.115940 0.815116 4.565760
00 0.159740 0.000000 1.039110
00 5.309560 0.750958 3.971720
00 5.309590 -0.751198 3.971720
10 -4.238130 0.660005 3.601690
10 -4.238130 -0.660007 3.601690
10 0.119447 0.002365 1.028060
10 4.017060 -0.619846 3.463120
10 4.017060 0.619846 3.463120
20 -4.180650 0.660155 3.502660
20 -4.180650 -0.660137 3.502660
20 0.110667 0.000003 1.022100
20 4.014890 -0.619884 3.419730
20 4.014890 0.619884 3.419730
01 -5.179340 0.815846 4.631100
01 -5.179290 -0.815862 4.631100
01 0.157749 0.000000 1.039110
01 5.441970 0.751145 4.142860
01 5.441980 -0.751132 4.142860
11 -4.351230 0.660048 4.065120
11 -4.351230 -0.660042 4.065120
11 0.166425 0.000029 1.028060
11 5.296470 -0.751070 3.947980
11 5.296470 0.751069 3.947980
21 -4.306420 0.660184 3.817550
21 -4.306420 -0.660184 3.817550
21 0.160613 0.000000 1.022100
21 5.296390 -0.751034 3.941050
21 5.296400 0.750844 3.941050
