ID X Y Z
00 -5.063009 0.815950 4.581897
00 -5.063009 -0.815950 4.581897
00 0.174420 -0.000000 1.053561
00 5.223991 0.750967 3.974448
00 5.223994 -0.750956 3.974448
10 -7.012163 0.000003 5.987608
10 -3.547011 -0.660047 3.137518
10 -3.547011 0.660046 3.137518
10 0.130185 0.000000 1.038258
10 3.641712 -0.619988 2.860470
10 3.641716 0.619988 2.860470
10 7.054442 0.000001 5.790634
20 -6.723147 0.000006 5.007183
20 -3.586377 -0.660417 2.528474
20 -3.586374 0.660418 2.528474
20 0.078302 0.000001 1.030606
20 3.561665 -0.619536 2.341013
20 3.561666 0.619532 2.341013
20 7.244829 0.757641 4.595417
20 7.244829 -0.757642 4.595417
01 -5.097576 0.815919 4.606909
01 -5.097576 -0.815919 4.606909
01 0.174014 -0.000000 1.053561
01 5.294275 -0.750760 4.035226
01 5.294276 0.750760 4.035226
11 -4.213958 0.660325 3.588565
11 -4.213958 -0.660326 3.588565
11 0.156958 -0.000000 1.038258
11 3.739459 0.619517 3.310500
11 3.739459 -0.619516 3.310500
21 -6.936619 0.000004 5.681186
21 -3.531602 0.660594 2.981640
21 -3.531308 -0.659828 2.981640
21 0.127147 -0.007322 1.030606
21 3.562252 0.619713 2.726269
21 3.562256 -0.619713 2.726269
21 6.988513 -0.000000 5.487488
